bits_per_key,method,median_IFFR,p95_IFFR_across_grid,worst_cell_IFFR,median_backend_reduction,valid_rejects
12.0,Adaptive tag,0.00023287242221690834,0.0005343197829516251,0.000801387925199422,0.9088792068888937,0
12.0,Global Bloom,0.003134028105931708,0.003134028105931708,0.003134028105931708,0.9062417926309712,0
12.0,Oracle AMQ,0.002555074010723603,0.002865967713549614,0.0029394103865903673,0.9067681145357058,0
12.0,Peppered tag,0.000244140625,0.000244140625,0.000244140625,0.9088689630681819,0
12.0,Risk partition,0.0029469334627859746,0.004633960193869853,0.006595269352223055,0.9064118786701946,0
12.0,TRAPS learned,0.0029893784220638635,0.006859051898166156,0.01028740006432475,0.9063732923435783,0
16.0,Adaptive tag,1.455452638855678e-05,3.3394986434476554e-05,5.0086745324963864e-05,0.9090776777032832,0
16.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0.0004586385078964973,0.9086739649928214,0
16.0,Oracle AMQ,0.0003739134724495442,0.00041941013653773966,0.0004301578506107532,0.9087509877523186,0
16.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,1.52587890625e-05,0.9090770374644886,0
16.0,Risk partition,0.0004312587891870897,0.000678140883595045,0.0009651618915459073,0.9086988556461936,0
16.0,TRAPS learned,0.0004374702500077811,0.0010037642362573354,0.0015054739958158651,0.9086932088636293,0
